categoria,item,quantidade,ano
DERIVADOS,Bagaceira,961290,1970
DERIVADOS,Bagaceira,913200,1971
DERIVADOS,Bagaceira,755350,1972
DERIVADOS,Bagaceira,661270,1973
DERIVADOS,Bagaceira,424620,1974
DERIVADOS,Bagaceira,576098,1975
DERIVADOS,Bagaceira,705912,1976
DERIVADOS,Bagaceira,828000,1977
DERIVADOS,Bagaceira,698200,1978
DERIVADOS,Bagaceira,938090,1979
DERIVADOS,Bagaceira,0,1980
DERIVADOS,Bagaceira,0,1981
DERIVADOS,Bagaceira,0,1982
DERIVADOS,Bagaceira,0,1983
DERIVADOS,Bagaceira,0,1984
DERIVADOS,Bagaceira,299500,1985
DERIVADOS,Bagaceira,156100,1986
DERIVADOS,Bagaceira,325600,1987
DERIVADOS,Bagaceira,29000,1988
DERIVADOS,Bagaceira,52000,1989
DERIVADOS,Bagaceira,55000,1990
DERIVADOS,Bagaceira,15000,1991
DERIVADOS,Bagaceira,10000,1992
DERIVADOS,Bagaceira,0,1993
DERIVADOS,Bagaceira,0,1994
DERIVADOS,Bagaceira,0,1995
DERIVADOS,Bagaceira,0,1996
DERIVADOS,Bagaceira,0,1997
DERIVADOS,Bagaceira,0,1998
DERIVADOS,Bagaceira,0,1999
DERIVADOS,Bagaceira,12700,2000
DERIVADOS,Bagaceira,10350,2001
DERIVADOS,Bagaceira,0,2002
DERIVADOS,Bagaceira,26800,2003
DERIVADOS,Bagaceira,66082,2004
DERIVADOS,Bagaceira,32050,2005
DERIVADOS,Bagaceira,24250,2006
DERIVADOS,Bagaceira,48500,2007
DERIVADOS,Bagaceira,8500,2008
DERIVADOS,Bagaceira,6500,2009
DERIVADOS,Bagaceira,0,2010
DERIVADOS,Bagaceira,0,2011
DERIVADOS,Bagaceira,0,2012
DERIVADOS,Bagaceira,0,2013
DERIVADOS,Bagaceira,0,2014
DERIVADOS,Bagaceira,1350,2015
DERIVADOS,Bagaceira,1000,2016
DERIVADOS,Bagaceira,900,2017
DERIVADOS,Bagaceira,2100,2018
DERIVADOS,Bagaceira,10495,2019
DERIVADOS,Bagaceira,0,2020
DERIVADOS,Bagaceira,12060,2021
DERIVADOS,Bagaceira,4998,2022
DERIVADOS,Bagaceira,0,2023
DERIVADOS,Bagaceira,0,2024
DERIVADOS,Base Champenoise champanha,0,1970
DERIVADOS,Base Champenoise champanha,0,1971
DERIVADOS,Base Champenoise champanha,0,1972
DERIVADOS,Base Champenoise champanha,0,1973
DERIVADOS,Base Champenoise champanha,0,1974
DERIVADOS,Base Champenoise champanha,0,1975
DERIVADOS,Base Champenoise champanha,0,1976
DERIVADOS,Base Champenoise champanha,0,1977
DERIVADOS,Base Champenoise champanha,0,1978
DERIVADOS,Base Champenoise champanha,0,1979
DERIVADOS,Base Champenoise champanha,0,1980
DERIVADOS,Base Champenoise champanha,0,1981
DERIVADOS,Base Champenoise champanha,0,1982
DERIVADOS,Base Champenoise champanha,0,1983
DERIVADOS,Base Champenoise champanha,0,1984
DERIVADOS,Base Champenoise champanha,0,1985
DERIVADOS,Base Champenoise champanha,0,1986
DERIVADOS,Base Champenoise champanha,0,1987
DERIVADOS,Base Champenoise champanha,0,1988
DERIVADOS,Base Champenoise champanha,0,1989
DERIVADOS,Base Champenoise champanha,0,1990
DERIVADOS,Base Champenoise champanha,0,1991
DERIVADOS,Base Champenoise champanha,0,1992
DERIVADOS,Base Champenoise champanha,0,1993
DERIVADOS,Base Champenoise champanha,0,1994
DERIVADOS,Base Champenoise champanha,0,1995
DERIVADOS,Base Champenoise champanha,0,1996
DERIVADOS,Base Champenoise champanha,0,1997
DERIVADOS,Base Champenoise champanha,0,1998
DERIVADOS,Base Champenoise champanha,0,1999
DERIVADOS,Base Champenoise champanha,0,2000
DERIVADOS,Base Champenoise champanha,0,2001
DERIVADOS,Base Champenoise champanha,0,2002
DERIVADOS,Base Champenoise champanha,0,2003
DERIVADOS,Base Champenoise champanha,0,2004
DERIVADOS,Base Champenoise champanha,0,2005
DERIVADOS,Base Champenoise champanha,0,2006
DERIVADOS,Base Champenoise champanha,0,2007
DERIVADOS,Base Champenoise champanha,0,2008
DERIVADOS,Base Champenoise champanha,0,2009
DERIVADOS,Base Champenoise champanha,92082,2010
DERIVADOS,Base Champenoise champanha,74746,2011
DERIVADOS,Base Champenoise champanha,369278,2012
DERIVADOS,Base Champenoise champanha,359617,2013
DERIVADOS,Base Champenoise champanha,234725,2014
DERIVADOS,Base Champenoise champanha,605001,2015
DERIVADOS,Base Champenoise champanha,740395,2016
DERIVADOS,Base Champenoise champanha,1552403,2017
DERIVADOS,Base Champenoise champanha,228518,2018
DERIVADOS,Base Champenoise champanha,274903,2019
DERIVADOS,Base Champenoise champanha,200777,2020
DERIVADOS,Base Champenoise champanha,0,2021
DERIVADOS,Base Champenoise champanha,1146717,2022
DERIVADOS,Base Champenoise champanha,1552243,2023
DERIVADOS,Base Champenoise champanha,0,2024
DERIVADOS,Base Charmat champanha,0,1970
DERIVADOS,Base Charmat champanha,0,1971
DERIVADOS,Base Charmat champanha,0,1972
DERIVADOS,Base Charmat champanha,0,1973
DERIVADOS,Base Charmat champanha,0,1974
DERIVADOS,Base Charmat champanha,0,1975
DERIVADOS,Base Charmat champanha,0,1976
DERIVADOS,Base Charmat champanha,0,1977
DERIVADOS,Base Charmat champanha,0,1978
DERIVADOS,Base Charmat champanha,0,1979
DERIVADOS,Base Charmat champanha,0,1980
DERIVADOS,Base Charmat champanha,0,1981
DERIVADOS,Base Charmat champanha,0,1982
DERIVADOS,Base Charmat champanha,0,1983
DERIVADOS,Base Charmat champanha,0,1984
DERIVADOS,Base Charmat champanha,0,1985
DERIVADOS,Base Charmat champanha,0,1986
DERIVADOS,Base Charmat champanha,0,1987
DERIVADOS,Base Charmat champanha,0,1988
DERIVADOS,Base Charmat champanha,0,1989
DERIVADOS,Base Charmat champanha,0,1990
DERIVADOS,Base Charmat champanha,0,1991
DERIVADOS,Base Charmat champanha,0,1992
DERIVADOS,Base Charmat champanha,0,1993
DERIVADOS,Base Charmat champanha,0,1994
DERIVADOS,Base Charmat champanha,0,1995
DERIVADOS,Base Charmat champanha,0,1996
DERIVADOS,Base Charmat champanha,0,1997
DERIVADOS,Base Charmat champanha,0,1998
DERIVADOS,Base Charmat champanha,0,1999
DERIVADOS,Base Charmat champanha,0,2000
DERIVADOS,Base Charmat champanha,0,2001
DERIVADOS,Base Charmat champanha,0,2002
DERIVADOS,Base Charmat champanha,0,2003
DERIVADOS,Base Charmat champanha,0,2004
DERIVADOS,Base Charmat champanha,0,2005
DERIVADOS,Base Charmat champanha,0,2006
DERIVADOS,Base Charmat champanha,0,2007
DERIVADOS,Base Charmat champanha,0,2008
DERIVADOS,Base Charmat champanha,0,2009
DERIVADOS,Base Charmat champanha,254000,2010
DERIVADOS,Base Charmat champanha,865858,2011
DERIVADOS,Base Charmat champanha,479625,2012
DERIVADOS,Base Charmat champanha,624728,2013
DERIVADOS,Base Charmat champanha,376968,2014
DERIVADOS,Base Charmat champanha,1466259,2015
DERIVADOS,Base Charmat champanha,250280,2016
DERIVADOS,Base Charmat champanha,893364,2017
DERIVADOS,Base Charmat champanha,1746540,2018
DERIVADOS,Base Charmat champanha,1188095,2019
DERIVADOS,Base Charmat champanha,2487939,2020
DERIVADOS,Base Charmat champanha,0,2021
DERIVADOS,Base Charmat champanha,4078766,2022
DERIVADOS,Base Charmat champanha,5418118,2023
DERIVADOS,Base Charmat champanha,0,2024
DERIVADOS,Base espumante,0,1970
DERIVADOS,Base espumante,0,1971
DERIVADOS,Base espumante,0,1972
DERIVADOS,Base espumante,0,1973
DERIVADOS,Base espumante,0,1974
DERIVADOS,Base espumante,0,1975
DERIVADOS,Base espumante,0,1976
DERIVADOS,Base espumante,0,1977
DERIVADOS,Base espumante,0,1978
DERIVADOS,Base espumante,0,1979
DERIVADOS,Base espumante,0,1980
DERIVADOS,Base espumante,0,1981
DERIVADOS,Base espumante,0,1982
DERIVADOS,Base espumante,0,1983
DERIVADOS,Base espumante,0,1984
DERIVADOS,Base espumante,0,1985
DERIVADOS,Base espumante,0,1986
DERIVADOS,Base espumante,0,1987
DERIVADOS,Base espumante,0,1988
DERIVADOS,Base espumante,0,1989
DERIVADOS,Base espumante,0,1990
DERIVADOS,Base espumante,0,1991
DERIVADOS,Base espumante,0,1992
DERIVADOS,Base espumante,0,1993
DERIVADOS,Base espumante,0,1994
DERIVADOS,Base espumante,0,1995
DERIVADOS,Base espumante,0,1996
DERIVADOS,Base espumante,0,1997
DERIVADOS,Base espumante,0,1998
DERIVADOS,Base espumante,0,1999
DERIVADOS,Base espumante,0,2000
DERIVADOS,Base espumante,0,2001
DERIVADOS,Base espumante,0,2002
DERIVADOS,Base espumante,0,2003
DERIVADOS,Base espumante,0,2004
DERIVADOS,Base espumante,239000,2005
DERIVADOS,Base espumante,0,2006
DERIVADOS,Base espumante,78250,2007
DERIVADOS,Base espumante,220120,2008
DERIVADOS,Base espumante,335850,2009
DERIVADOS,Base espumante,0,2010
DERIVADOS,Base espumante,0,2011
DERIVADOS,Base espumante,0,2012
DERIVADOS,Base espumante,0,2013
DERIVADOS,Base espumante,0,2014
DERIVADOS,Base espumante,0,2015
DERIVADOS,Base espumante,0,2016
DERIVADOS,Base espumante,0,2017
DERIVADOS,Base espumante,0,2018
DERIVADOS,Base espumante,0,2019
DERIVADOS,Base espumante,0,2020
DERIVADOS,Base espumante,5475049,2021
DERIVADOS,Base espumante,0,2022
DERIVADOS,Base espumante,0,2023
DERIVADOS,Base espumante,0,2024
DERIVADOS,Base espumante moscatel,0,1970
DERIVADOS,Base espumante moscatel,0,1971
DERIVADOS,Base espumante moscatel,0,1972
DERIVADOS,Base espumante moscatel,0,1973
DERIVADOS,Base espumante moscatel,0,1974
DERIVADOS,Base espumante moscatel,0,1975
DERIVADOS,Base espumante moscatel,0,1976
DERIVADOS,Base espumante moscatel,0,1977
DERIVADOS,Base espumante moscatel,0,1978
DERIVADOS,Base espumante moscatel,0,1979
DERIVADOS,Base espumante moscatel,0,1980
DERIVADOS,Base espumante moscatel,0,1981
DERIVADOS,Base espumante moscatel,0,1982
DERIVADOS,Base espumante moscatel,0,1983
DERIVADOS,Base espumante moscatel,0,1984
DERIVADOS,Base espumante moscatel,0,1985
DERIVADOS,Base espumante moscatel,0,1986
DERIVADOS,Base espumante moscatel,0,1987
DERIVADOS,Base espumante moscatel,0,1988
DERIVADOS,Base espumante moscatel,0,1989
DERIVADOS,Base espumante moscatel,0,1990
DERIVADOS,Base espumante moscatel,0,1991
DERIVADOS,Base espumante moscatel,0,1992
DERIVADOS,Base espumante moscatel,0,1993
DERIVADOS,Base espumante moscatel,0,1994
DERIVADOS,Base espumante moscatel,0,1995
DERIVADOS,Base espumante moscatel,0,1996
DERIVADOS,Base espumante moscatel,0,1997
DERIVADOS,Base espumante moscatel,0,1998
DERIVADOS,Base espumante moscatel,0,1999
DERIVADOS,Base espumante moscatel,0,2000
DERIVADOS,Base espumante moscatel,0,2001
DERIVADOS,Base espumante moscatel,0,2002
DERIVADOS,Base espumante moscatel,0,2003
DERIVADOS,Base espumante moscatel,98900,2004
DERIVADOS,Base espumante moscatel,212400,2005
DERIVADOS,Base espumante moscatel,362589,2006
DERIVADOS,Base espumante moscatel,111200,2007
DERIVADOS,Base espumante moscatel,474721,2008
DERIVADOS,Base espumante moscatel,442150,2009
DERIVADOS,Base espumante moscatel,1144508,2010
DERIVADOS,Base espumante moscatel,2749540,2011
DERIVADOS,Base espumante moscatel,2798908,2012
DERIVADOS,Base espumante moscatel,1470700,2013
DERIVADOS,Base espumante moscatel,1808044,2014
DERIVADOS,Base espumante moscatel,1607727,2015
DERIVADOS,Base espumante moscatel,1325700,2016
DERIVADOS,Base espumante moscatel,1965629,2017
DERIVADOS,Base espumante moscatel,1320650,2018
DERIVADOS,Base espumante moscatel,1962443,2019
DERIVADOS,Base espumante moscatel,3006705,2020
DERIVADOS,Base espumante moscatel,5549471,2021
DERIVADOS,Base espumante moscatel,6308043,2022
DERIVADOS,Base espumante moscatel,6734590,2023
DERIVADOS,Base espumante moscatel,0,2024
DERIVADOS,Bebida de uva,0,1970
DERIVADOS,Bebida de uva,0,1971
DERIVADOS,Bebida de uva,0,1972
DERIVADOS,Bebida de uva,0,1973
DERIVADOS,Bebida de uva,0,1974
DERIVADOS,Bebida de uva,0,1975
DERIVADOS,Bebida de uva,0,1976
DERIVADOS,Bebida de uva,0,1977
DERIVADOS,Bebida de uva,0,1978
DERIVADOS,Bebida de uva,0,1979
DERIVADOS,Bebida de uva,0,1980
DERIVADOS,Bebida de uva,0,1981
DERIVADOS,Bebida de uva,0,1982
DERIVADOS,Bebida de uva,0,1983
DERIVADOS,Bebida de uva,0,1984
DERIVADOS,Bebida de uva,0,1985
DERIVADOS,Bebida de uva,0,1986
DERIVADOS,Bebida de uva,0,1987
DERIVADOS,Bebida de uva,0,1988
DERIVADOS,Bebida de uva,0,1989
DERIVADOS,Bebida de uva,0,1990
DERIVADOS,Bebida de uva,0,1991
DERIVADOS,Bebida de uva,0,1992
DERIVADOS,Bebida de uva,0,1993
DERIVADOS,Bebida de uva,0,1994
DERIVADOS,Bebida de uva,0,1995
DERIVADOS,Bebida de uva,0,1996
DERIVADOS,Bebida de uva,0,1997
DERIVADOS,Bebida de uva,0,1998
DERIVADOS,Bebida de uva,0,1999
DERIVADOS,Bebida de uva,0,2000
DERIVADOS,Bebida de uva,0,2001
DERIVADOS,Bebida de uva,0,2002
DERIVADOS,Bebida de uva,0,2003
DERIVADOS,Bebida de uva,0,2004
DERIVADOS,Bebida de uva,0,2005
DERIVADOS,Bebida de uva,0,2006
DERIVADOS,Bebida de uva,0,2007
DERIVADOS,Bebida de uva,1082700,2008
DERIVADOS,Bebida de uva,420,2009
DERIVADOS,Bebida de uva,7900,2010
DERIVADOS,Bebida de uva,0,2011
DERIVADOS,Bebida de uva,0,2012
DERIVADOS,Bebida de uva,4260,2013
DERIVADOS,Bebida de uva,3860,2014
DERIVADOS,Bebida de uva,922,2015
DERIVADOS,Bebida de uva,3474,2016
DERIVADOS,Bebida de uva,0,2017
DERIVADOS,Bebida de uva,0,2018
DERIVADOS,Bebida de uva,0,2019
DERIVADOS,Bebida de uva,0,2020
DERIVADOS,Bebida de uva,2000,2021
DERIVADOS,Bebida de uva,0,2022
DERIVADOS,Bebida de uva,1627,2023
DERIVADOS,Bebida de uva,0,2024
DERIVADOS,Borra líquida,3847673,1970
DERIVADOS,Borra líquida,3565644,1971
DERIVADOS,Borra líquida,3015037,1972
DERIVADOS,Borra líquida,3559922,1973
DERIVADOS,Borra líquida,5136979,1974
DERIVADOS,Borra líquida,4624839,1975
DERIVADOS,Borra líquida,3393173,1976
DERIVADOS,Borra líquida,0,1977
DERIVADOS,Borra líquida,0,1978
DERIVADOS,Borra líquida,0,1979
DERIVADOS,Borra líquida,0,1980
DERIVADOS,Borra líquida,3767852,1981
DERIVADOS,Borra líquida,0,1982
DERIVADOS,Borra líquida,0,1983
DERIVADOS,Borra líquida,0,1984
DERIVADOS,Borra líquida,5095798,1985
DERIVADOS,Borra líquida,6357648,1986
DERIVADOS,Borra líquida,5142446,1987
DERIVADOS,Borra líquida,1953488,1988
DERIVADOS,Borra líquida,2426804,1989
DERIVADOS,Borra líquida,1282381,1990
DERIVADOS,Borra líquida,1649130,1991
DERIVADOS,Borra líquida,1400200,1992
DERIVADOS,Borra líquida,0,1993
DERIVADOS,Borra líquida,0,1994
DERIVADOS,Borra líquida,0,1995
DERIVADOS,Borra líquida,0,1996
DERIVADOS,Borra líquida,0,1997
DERIVADOS,Borra líquida,0,1998
DERIVADOS,Borra líquida,0,1999
DERIVADOS,Borra líquida,9626928,2000
DERIVADOS,Borra líquida,8216162,2001
DERIVADOS,Borra líquida,8541861,2002
DERIVADOS,Borra líquida,3126172,2003
DERIVADOS,Borra líquida,1044490,2004
DERIVADOS,Borra líquida,526016,2005
DERIVADOS,Borra líquida,57333,2006
DERIVADOS,Borra líquida,2095873,2007
DERIVADOS,Borra líquida,1679775,2008
DERIVADOS,Borra líquida,0,2009
DERIVADOS,Borra líquida,64304,2010
DERIVADOS,Borra líquida,0,2011
DERIVADOS,Borra líquida,0,2012
DERIVADOS,Borra líquida,63111,2013
DERIVADOS,Borra líquida,50954,2014
DERIVADOS,Borra líquida,48833,2015
DERIVADOS,Borra líquida,24975,2016
DERIVADOS,Borra líquida,0,2017
DERIVADOS,Borra líquida,255100,2018
DERIVADOS,Borra líquida,901431,2019
DERIVADOS,Borra líquida,509378,2020
DERIVADOS,Borra líquida,116450,2021
DERIVADOS,Borra líquida,0,2022
DERIVADOS,Borra líquida,758140,2023
DERIVADOS,Borra líquida,0,2024
DERIVADOS,Borra seca,0,1970
DERIVADOS,Borra seca,0,1971
DERIVADOS,Borra seca,0,1972
DERIVADOS,Borra seca,0,1973
DERIVADOS,Borra seca,0,1974
DERIVADOS,Borra seca,0,1975
DERIVADOS,Borra seca,0,1976
DERIVADOS,Borra seca,0,1977
DERIVADOS,Borra seca,0,1978
DERIVADOS,Borra seca,0,1979
DERIVADOS,Borra seca,0,1980
DERIVADOS,Borra seca,0,1981
DERIVADOS,Borra seca,0,1982
DERIVADOS,Borra seca,0,1983
DERIVADOS,Borra seca,0,1984
DERIVADOS,Borra seca,0,1985
DERIVADOS,Borra seca,0,1986
DERIVADOS,Borra seca,0,1987
DERIVADOS,Borra seca,0,1988
DERIVADOS,Borra seca,0,1989
DERIVADOS,Borra seca,0,1990
DERIVADOS,Borra seca,0,1991
DERIVADOS,Borra seca,0,1992
DERIVADOS,Borra seca,0,1993
DERIVADOS,Borra seca,0,1994
DERIVADOS,Borra seca,0,1995
DERIVADOS,Borra seca,0,1996
DERIVADOS,Borra seca,0,1997
DERIVADOS,Borra seca,0,1998
DERIVADOS,Borra seca,0,1999
DERIVADOS,Borra seca,0,2000
DERIVADOS,Borra seca,0,2001
DERIVADOS,Borra seca,0,2002
DERIVADOS,Borra seca,0,2003
DERIVADOS,Borra seca,0,2004
DERIVADOS,Borra seca,0,2005
DERIVADOS,Borra seca,0,2006
DERIVADOS,Borra seca,0,2007
DERIVADOS,Borra seca,0,2008
DERIVADOS,Borra seca,0,2009
DERIVADOS,Borra seca,149981,2010
DERIVADOS,Borra seca,0,2011
DERIVADOS,Borra seca,0,2012
DERIVADOS,Borra seca,78397,2013
DERIVADOS,Borra seca,142850,2014
DERIVADOS,Borra seca,120230,2015
DERIVADOS,Borra seca,82367,2016
DERIVADOS,Borra seca,0,2017
DERIVADOS,Borra seca,70480,2018
DERIVADOS,Borra seca,25996,2019
DERIVADOS,Borra seca,167587,2020
DERIVADOS,Borra seca,16789,2021
DERIVADOS,Borra seca,0,2022
DERIVADOS,Borra seca,17200,2023
DERIVADOS,Borra seca,0,2024
DERIVADOS,Brandy,0,1970
DERIVADOS,Brandy,0,1971
DERIVADOS,Brandy,0,1972
DERIVADOS,Brandy,0,1973
DERIVADOS,Brandy,0,1974
DERIVADOS,Brandy,0,1975
DERIVADOS,Brandy,0,1976
DERIVADOS,Brandy,0,1977
DERIVADOS,Brandy,0,1978
DERIVADOS,Brandy,0,1979
DERIVADOS,Brandy,0,1980
DERIVADOS,Brandy,0,1981
DERIVADOS,Brandy,0,1982
DERIVADOS,Brandy,0,1983
DERIVADOS,Brandy,0,1984
DERIVADOS,Brandy,13000,1985
DERIVADOS,Brandy,0,1986
DERIVADOS,Brandy,0,1987
DERIVADOS,Brandy,5216,1988
DERIVADOS,Brandy,6500,1989
DERIVADOS,Brandy,0,1990
DERIVADOS,Brandy,0,1991
DERIVADOS,Brandy,0,1992
DERIVADOS,Brandy,0,1993
DERIVADOS,Brandy,0,1994
DERIVADOS,Brandy,0,1995
DERIVADOS,Brandy,0,1996
DERIVADOS,Brandy,0,1997
DERIVADOS,Brandy,0,1998
DERIVADOS,Brandy,0,1999
DERIVADOS,Brandy,0,2000
DERIVADOS,Brandy,0,2001
DERIVADOS,Brandy,0,2002
DERIVADOS,Brandy,0,2003
DERIVADOS,Brandy,0,2004
DERIVADOS,Brandy,0,2005
DERIVADOS,Brandy,0,2006
DERIVADOS,Brandy,0,2007
DERIVADOS,Brandy,0,2008
DERIVADOS,Brandy,0,2009
DERIVADOS,Brandy,0,2010
DERIVADOS,Brandy,0,2011
DERIVADOS,Brandy,0,2012
DERIVADOS,Brandy,0,2013
DERIVADOS,Brandy,0,2014
DERIVADOS,Brandy,0,2015
DERIVADOS,Brandy,0,2016
DERIVADOS,Brandy,0,2017
DERIVADOS,Brandy,0,2018
DERIVADOS,Brandy,0,2019
DERIVADOS,Brandy,0,2020
DERIVADOS,Brandy,120,2021
DERIVADOS,Brandy,0,2022
DERIVADOS,Brandy,450,2023
DERIVADOS,Brandy,0,2024
DERIVADOS,Compostos,0,1970
DERIVADOS,Compostos,45000,1971
DERIVADOS,Compostos,1358300,1972
DERIVADOS,Compostos,1628000,1973
DERIVADOS,Compostos,0,1974
DERIVADOS,Compostos,0,1975
DERIVADOS,Compostos,0,1976
DERIVADOS,Compostos,0,1977
DERIVADOS,Compostos,75000,1978
DERIVADOS,Compostos,0,1979
DERIVADOS,Compostos,0,1980
DERIVADOS,Compostos,0,1981
DERIVADOS,Compostos,0,1982
DERIVADOS,Compostos,0,1983
DERIVADOS,Compostos,0,1984
DERIVADOS,Compostos,0,1985
DERIVADOS,Compostos,0,1986
DERIVADOS,Compostos,0,1987
DERIVADOS,Compostos,2000,1988
DERIVADOS,Compostos,1900,1989
DERIVADOS,Compostos,0,1990
DERIVADOS,Compostos,0,1991
DERIVADOS,Compostos,0,1992
DERIVADOS,Compostos,0,1993
DERIVADOS,Compostos,0,1994
DERIVADOS,Compostos,0,1995
DERIVADOS,Compostos,0,1996
DERIVADOS,Compostos,0,1997
DERIVADOS,Compostos,0,1998
DERIVADOS,Compostos,0,1999
DERIVADOS,Compostos,0,2000
DERIVADOS,Compostos,0,2001
DERIVADOS,Compostos,0,2002
DERIVADOS,Compostos,0,2003
DERIVADOS,Compostos,0,2004
DERIVADOS,Compostos,0,2005
